city,country,latitude,longitude,temperature,humidity,cloudiness,wind speed
Cape Town,ZA,-33.93,18.42,63.39,88,75,12.75
Norman Wells,CA,65.28,-126.83,62.6,82,75,12.75
Nsanje,MW,-16.92,35.26,71.92,52,2,3.87
Talcahuano,CL,-36.72,-73.12,55.4,93,90,13.87
Mahébourg,MU,-20.41,57.7,73.4,69,40,17.22
Songadh,IN,21.17,73.57,86.09,65,94,12.17
Kavieng,PG,-2.57,150.8,83.25,73,61,6.8
Santiago del Estero,AR,-27.8,-64.26,65.57,54,93,3.11
George Town,MY,5.41,100.34,83.25,79,20,2.24
Teknāf,BD,20.86,92.31,81.81,84,97,8.81
Nakusp,CA,50.25,-117.8,57.99,89,100,1.01
Puerto Escondido,MX,15.85,-97.07,82.4,78,75,5.5
Jacareacanga,BR,-6.22,-57.75,88.81,45,2,4.9
Thompson,CA,55.74,-97.86,42.8,100,90,13.87
Gimli,CA,50.63,-96.99,65.7,71,37,7.0
Arraial do Cabo,BR,-22.97,-42.03,82.4,61,0,5.82
Llandrindod Wells,GB,52.24,-3.38,67.26,70,0,4.0
Isla Mujeres,MX,21.23,-86.73,85.53,74,75,9.17
Basco,PH,20.45,121.97,84.7,77,3,9.42
Grindavik,IS,63.84,-22.43,51.8,93,75,23.04
Rassvet,RU,46.83,40.75,71.11,68,100,7.63
Fairbanks,US,64.84,-147.72,53.02,93,1,1.25
Wanning,CN,18.8,110.4,82.13,87,2,9.73
Sankt Pölten,AT,48.2,15.63,59.36,87,100,9.53
Ōtsuchi,JP,39.37,141.9,57.33,83,68,3.89
Thinadhoo,MV,0.53,72.93,84.54,70,99,6.76
Khatanga,RU,71.97,102.5,63.39,52,6,13.04
Qaanaaq,GL,77.48,-69.36,39.09,73,100,8.5
Bambous Virieux,MU,-20.34,57.76,73.22,69,40,17.22
Sobolevo,RU,54.43,31.9,78.13,78,87,4.47
Kilakarai,IN,9.23,78.78,89.44,56,99,16.78
Van Wert,US,40.87,-84.58,83.41,48,29,3.65
Birjand,IR,32.87,59.22,96.8,4,40,16.11
Tiznit Province,MA,29.58,-9.5,80.42,42,0,10.67
Gawler,AU,-34.6,138.73,51.57,94,100,15.01
Sibut,CF,5.72,19.07,75.9,90,99,3.24
Rocha,UY,-34.48,-54.33,61.02,69,33,5.44
Ca Mau,VN,9.18,105.15,77.65,90,100,5.03
Mount Isa,AU,-20.73,139.5,59.0,54,0,9.86
Nizhniy Baskunchak,RU,48.22,46.83,90.52,24,80,14.29
Yerbogachën,RU,61.28,108.01,59.76,77,43,2.48
Lagoa,PT,39.05,-27.98,65.64,90,1,21.16
Linxia Chengguanzhen,CN,35.6,103.21,66.76,60,67,2.21
Port Alfred,ZA,-33.59,26.89,66.0,80,0,2.33
Saint Paul Harbor,US,57.79,-152.41,48.2,87,90,6.93
Tiksi,RU,71.69,128.87,65.71,37,0,7.85
Tuktoyaktuk,CA,69.45,-133.04,39.2,100,90,9.17
Vila Franca do Campo,PT,37.72,-25.43,68.0,77,20,14.99
Inzhavino,RU,52.32,42.49,80.91,64,2,2.51
Kismayo,SO,-0.36,42.55,79.23,75,0,22.79
Palmer,US,42.16,-72.33,83.26,57,20,3.36
Los Llanos de Aridane,ES,28.66,-17.92,74.03,61,20,13.87
Pontianak,ID,-0.03,109.33,78.42,86,91,0.94
Andenes,NO,69.31,16.12,53.6,76,53,14.99
Bethel,US,41.37,-73.41,79.48,65,1,4.7
Dickinson,US,29.46,-95.05,77.74,83,90,5.82
Shache,CN,38.42,77.24,83.26,15,97,13.31
San Patricio,MX,19.22,-104.7,77.0,73,75,6.93
Rio Rancho,US,35.23,-106.66,71.78,35,0,0.89
Adré,TD,13.47,22.2,97.23,15,52,4.92
Saint-Philippe,RE,-21.36,55.77,66.83,73,81,5.82
Airai,TL,-8.93,125.41,56.62,100,31,3.91
Wenatchee,US,47.42,-120.31,66.09,63,1,3.36
Novo Aripuanã,BR,-5.12,-60.38,89.44,43,94,6.11
Catió,GW,11.28,-15.25,87.08,63,90,7.49
Oytal,KZ,42.91,73.27,66.7,36,12,7.43
Safi,MA,32.3,-9.24,74.05,65,0,19.86
Klaksvík,FO,62.23,-6.59,57.2,87,63,11.41
Hecun,CN,36.53,114.11,78.44,57,0,8.66
Katsuura,JP,35.13,140.3,70.11,88,100,4.61
Aykhal,RU,66.0,111.5,64.4,55,40,4.47
Sadon,RU,42.85,44.0,78.39,61,75,6.71
Henties Bay,NA,-22.12,14.28,75.99,37,29,1.99
Carberry,CA,49.87,-99.36,59.0,67,90,5.82
New Norfolk,AU,-42.78,147.06,44.31,87,100,2.37
Bagé,BR,-31.33,-54.11,66.2,93,90,8.05
Caldwell,US,43.66,-116.69,63.0,77,1,11.05
Ginir,ET,7.13,40.7,66.47,84,65,8.9
Kamenka,RU,51.32,42.77,81.52,46,30,2.77
Avilés,ES,43.55,-5.92,71.13,72,65,5.82
Vanimo,PG,-2.67,141.3,79.18,83,95,4.34
Imbituba,BR,-28.24,-48.67,82.4,48,0,10.29
Toora-Khem,RU,52.47,96.11,56.03,56,0,0.29
Vao,NC,-22.67,167.48,68.27,65,28,14.29
Kiomboi,TZ,-4.27,34.37,76.14,37,67,3.04
Severo-Kuril'sk,RU,50.68,156.12,41.72,92,100,17.58
Lebu,CL,-37.62,-73.65,52.81,91,100,25.66
Praia da Vitória,PT,38.73,-27.07,77.0,57,20,10.85
Balkhash,KZ,46.84,74.98,65.61,36,0,11.97
Goldsboro,US,35.38,-77.99,69.87,88,20,2.1
Necochea,AR,-38.55,-58.74,51.01,74,100,1.01
Tasiilaq,GL,65.61,-37.64,46.4,75,75,19.46
Itarema,BR,-2.92,-39.92,83.03,70,48,15.23
Bambanglipuro,ID,-7.95,110.28,78.12,83,78,12.88
Mugan,CN,35.94,101.38,62.58,54,10,5.75
Berlevåg,NO,70.86,29.09,45.73,75,0,4.79
Batesville,US,35.77,-91.64,82.27,69,40,4.7
Carballo,ES,43.21,-8.69,72.28,11,11,5.01
Touros,BR,-5.2,-35.46,82.4,69,40,17.22
Orikum,AL,40.33,19.47,76.19,55,8,15.52
Taksimo,RU,56.34,114.88,55.96,70,55,1.48
Andra,RU,62.51,65.89,54.18,59,24,12.46
Bubaque,GW,11.28,-15.83,82.53,75,52,8.08
Noumea,NC,-22.28,166.46,60.8,82,40,1.12
Kiama,AU,-34.68,150.87,57.58,65,55,7.0
Saldanha,ZA,-33.01,17.94,68.0,64,7,6.93
Dwārka,IN,22.24,68.97,87.03,77,54,18.1
Karratha,AU,-20.74,116.85,71.17,52,0,5.86
Muscle Shoals,US,34.74,-87.67,82.09,61,1,3.44
Knysna,ZA,-34.04,23.05,62.6,67,0,4.7
Kavaratti,IN,10.57,72.64,84.0,76,100,17.4
Seoul,KR,37.57,126.98,70.39,88,20,3.36
Dubbo,AU,-32.25,148.62,51.8,93,40,4.7
Penzance,GB,50.12,-5.54,60.8,77,93,16.11
Bellevue,US,47.61,-122.2,62.83,68,90,6.93
Sabang,ID,5.89,95.32,83.79,76,99,11.1
Balintore,GB,57.76,-3.91,64.65,59,51,9.17
Husavik,IS,66.04,-17.34,68.0,49,90,16.11
Hong Kong,HK,22.29,114.16,83.75,74,44,5.99
Juegang,CN,32.32,121.19,69.4,86,100,8.66
Chadiza,ZM,-14.07,32.44,65.8,45,96,4.25
Arrondissement de Saint-Denis,FR,48.92,2.33,74.7,41,50,5.82
Tezu,IN,27.92,96.17,77.99,84,60,3.27
Avera,US,33.19,-82.53,79.74,78,1,4.7
Mangan,IN,27.52,88.53,77.31,56,59,1.99
Torbay,CA,47.67,-52.73,45.03,100,90,13.87
Evensk,RU,61.95,159.23,50.09,83,0,1.45
City of San Pedro,PH,14.35,121.02,82.09,83,20,1.12
Ambulu,ID,-8.35,113.61,75.79,84,99,5.14
Port Elizabeth,ZA,-33.92,25.57,68.0,68,30,4.7
Camacha,PT,33.08,-16.33,71.6,68,75,11.41
Codrington,AU,-38.27,141.97,47.43,89,100,7.29
Olafsvik,IS,64.89,-23.71,51.1,86,99,8.12
Lüderitz,NA,-26.65,15.16,77.0,23,0,8.05
Bariloche,AR,-41.15,-71.31,35.6,100,75,3.36
Muroto-misakicho,JP,33.28,134.15,72.21,75,82,4.65
Southbridge,US,42.08,-72.03,81.93,50,1,1.01
Road Town,VG,18.42,-64.62,88.56,66,40,12.75
Plettenberg Bay,ZA,-34.05,23.37,61.52,80,3,3.65
Jalu,LY,29.03,21.55,109.92,7,0,6.31
Sovetskiy,RU,61.36,63.58,53.31,43,0,12.71
Mossoró,BR,-5.19,-37.34,89.19,47,1,14.72
Porto de Mós,PT,39.6,-8.82,76.24,56,20,12.75
Dauriya,RU,49.93,116.87,62.82,47,77,7.94
Dhidhdhoo,MV,6.88,73.1,84.15,77,100,16.28
Galle,LK,6.04,80.22,82.29,84,96,13.89
Hollister,US,36.85,-121.4,54.84,87,90,3.13
Kaitangata,NZ,-46.28,169.85,43.0,87,88,1.01
Yulara,AU,-25.24,130.99,51.8,40,0,9.17
Mehrān,IR,33.12,46.16,84.2,16,0,11.41
São João da Barra,BR,-21.64,-41.05,80.6,61,0,6.93
Atar,MR,20.52,-13.05,111.51,7,0,13.87
Lukovetskiy,RU,64.3,41.92,53.6,62,40,11.18
Ridgecrest,US,35.62,-117.67,77.9,25,1,4.7
Ardakān,IR,32.31,54.02,105.8,7,20,13.87
Cagsiay,PH,14.22,121.75,80.89,80,72,4.45
Mossamedes,AO,-15.2,12.15,91.4,33,0,20.8
Ucluelet,CA,48.93,-125.55,57.7,100,90,6.93
Santa Cruz de la Sierra,BO,-17.8,-63.17,80.6,74,75,12.75
Braço do Norte,BR,-28.27,-49.17,69.01,80,0,20.0
Grand Forks,US,47.93,-97.03,59.14,87,90,11.41
Comendador,DO,18.88,-71.7,86.81,48,0,3.53
Qaqortoq,GL,60.72,-46.03,50.0,62,75,5.82
Joshīmath,IN,30.57,79.57,64.9,58,78,0.78
Porto-Novo,BJ,6.5,2.6,84.2,79,20,17.22
Gewanē,ET,10.17,40.65,102.47,15,100,11.05
Salalah,OM,17.02,54.09,87.8,74,20,6.93
Berlare,BE,51.04,3.98,72.01,61,12,1.99
Matara,LK,5.95,80.54,81.36,84,100,12.39
Iqaluit,CA,63.75,-68.51,39.09,80,75,5.82
Hambantota,LK,6.12,81.12,86.0,74,40,9.17
Kamień Pomorski,PL,53.97,14.77,63.07,100,75,8.05
Luba,GQ,3.46,8.55,84.2,74,20,10.29
Samarai,PG,-10.62,150.67,78.89,85,15,12.97
Daphne,US,30.6,-87.9,83.21,65,1,3.58
Bulgan,MN,48.81,103.53,53.6,86,100,10.0
Daultala,PK,33.19,73.14,95.0,30,13,6.93
Pāvugada,IN,14.1,77.27,84.97,51,95,20.04
Micheweni,TZ,-4.97,39.83,78.37,71,56,17.72
Ust'-Kulom,RU,61.69,53.69,48.52,63,100,11.43
Brownwood,US,31.71,-98.99,77.0,73,75,10.29
Clyde River,CA,70.47,-68.59,35.6,93,40,13.87
Eslöv,SE,55.84,13.3,70.83,78,80,9.17
Manavālakurichi,IN,8.13,77.3,84.2,79,75,5.82
Tevaitoa,PF,-16.78,-151.5,79.77,78,100,7.9
Vedi,AM,39.91,44.72,77.0,23,40,13.87
Castro,BR,-24.79,-50.01,71.8,57,0,7.34
Kaka,TM,37.35,59.61,97.43,9,24,16.64
Wewak,PG,-3.55,143.63,80.74,81,79,6.69
Aitape,PG,-3.14,142.35,79.12,80,95,4.56
Jinchang,CN,38.5,102.17,82.22,22,85,6.31
Brae,GB,60.4,-1.35,59.0,82,53,11.41
Cidreira,BR,-30.18,-50.21,69.76,87,95,5.95
Nouadhibou,MR,20.93,-17.03,93.2,36,0,10.29
Redmond,US,47.67,-122.12,62.38,70,100,3.91
Palm Coast,US,29.59,-81.21,78.87,83,90,4.7
Beaufort,MY,5.35,115.75,80.31,94,75,2.19
Rey Bouba,CM,8.67,14.18,90.63,51,30,2.91
Sola,VU,-13.88,167.55,79.79,81,85,17.43
Phalombe,MW,-15.81,35.65,63.21,74,74,4.07
Tawang Town,IN,27.58,91.87,59.61,79,94,1.19
Solikamsk,RU,59.62,56.77,52.48,52,0,10.78
Bud,US,39.45,-86.18,83.16,51,1,4.7
Iváncsa,HU,47.16,18.82,64.13,77,75,13.87
Kikwit,CD,-5.04,18.82,92.73,22,0,0.36
Xining,CN,36.62,101.77,66.2,52,85,5.5
Ambilobe,MG,-13.2,49.05,74.17,85,89,5.17
Dumai,ID,1.68,101.45,76.44,91,89,2.28
São Miguel do Araguaia,BR,-13.28,-50.16,86.34,42,3,8.23
Alanya,TR,36.54,32.0,89.6,35,20,6.93
Rafaela,AR,-31.25,-61.49,52.41,82,59,3.0
Saint-Augustin,CA,51.23,-58.65,62.42,46,8,3.91
Pangai,TO,-19.8,-174.35,75.85,76,3,17.0
Jumla,NP,29.27,82.18,62.08,70,100,1.36
Hervey Bay,AU,-25.3,152.85,62.01,93,77,5.01
Chicama,PE,-7.84,-79.15,69.33,66,54,6.73
Mumford,GH,5.26,-0.76,79.63,81,94,13.85
Tilichiki,RU,60.47,166.1,44.38,93,0,1.52
Nolinsk,RU,57.56,49.94,61.75,61,0,8.23
Umluj,SA,25.02,37.27,84.34,56,0,12.66
Manicoré,BR,-5.81,-61.3,86.0,62,87,8.05
Okha,RU,53.57,142.95,40.96,93,99,9.31
Pevek,RU,69.7,170.31,44.92,63,55,8.79
Coquimbo,CL,-29.95,-71.34,57.2,67,0,3.36
Balad,IQ,34.02,44.15,95.99,16,0,15.82
Bouar,CF,5.93,15.6,75.97,83,67,4.59
Zhangjiakou Shi Xuanhua Qu,CN,40.61,115.04,73.76,58,97,2.1
Vanavara,RU,60.34,102.28,60.42,69,49,5.21
Muravlenko,RU,63.79,74.52,53.13,62,99,11.43
Santa Vitória do Palmar,BR,-33.52,-53.37,60.78,78,33,3.11
Tawao,MY,4.25,117.89,78.31,94,20,3.36
Meulaboh,ID,4.14,96.13,77.85,89,100,6.58
Beyneu,KZ,45.32,55.2,89.64,18,3,21.16
Asău,RO,46.43,26.4,68.0,80,75,2.73
Maceió,BR,-9.67,-35.74,82.4,61,75,17.22
Bozeman,US,45.68,-111.04,58.46,63,1,3.36
Tura,IN,25.52,90.22,77.79,87,0,3.87
Makakilo City,US,21.35,-158.09,72.48,78,75,3.36
Kristiansund,NO,63.11,7.73,73.4,46,88,10.29
Slave Lake,CA,55.28,-114.77,57.2,67,1,11.41
Souillac,MU,-20.52,57.52,73.4,69,40,17.22
Barry,GB,51.41,-3.27,64.81,82,30,6.93
Dingle,PH,11.0,122.67,79.45,77,0,4.25
Tapes,BR,-30.67,-51.4,70.79,90,49,2.01
Saint Anthony,US,45.02,-93.22,69.35,52,1,8.05
Tim,RU,51.62,37.12,86.0,40,95,6.71
Fukuechō,JP,32.69,128.84,71.89,77,98,2.53
Ouadda,CF,8.08,22.4,80.51,72,23,3.76
Muzhi,RU,65.37,64.67,46.96,95,100,6.67
Guerrero Negro,MX,27.98,-114.06,66.34,73,20,13.69
Atikokan,CA,48.76,-91.62,67.95,38,99,3.85
Narsaq,GL,60.92,-46.05,50.0,54,75,5.82
Nadym,RU,65.53,72.52,57.18,48,32,12.59
Kudahuvadhoo,MV,2.67,72.89,84.31,77,100,10.54
Ribeira Grande,PT,38.52,-28.7,69.8,83,40,13.87
Adeje,ES,28.12,-16.73,76.51,51,20,27.51
Kruisfontein,ZA,-34.0,24.73,60.8,79,5,5.5
Tuatapere,NZ,-46.13,167.68,39.0,83,65,3.0
Port Hedland,AU,-20.32,118.57,69.8,32,0,10.29
Wokha,IN,26.1,94.27,62.46,100,100,2.48
Monrovia,LR,6.3,-10.8,86.0,70,75,10.29
Aklavik,CA,68.22,-135.01,46.4,93,90,9.17
Achacachi,BO,-16.05,-68.68,50.88,42,0,4.23
Cartagena,CO,10.4,-75.51,86.0,84,75,6.93
Yar-Sale,RU,66.83,70.83,51.37,49,67,19.04
Bafoulabé,ML,13.81,-10.83,102.63,31,28,0.58
Sumbe,AO,-11.21,13.84,78.42,65,0,8.19
Ko Samui,TH,9.54,99.94,82.4,78,20,9.01
Lorengau,PG,-2.02,147.27,81.32,75,0,1.48
Ostrovnoy,RU,68.05,39.51,43.97,76,100,15.57
Villarrica,PY,-25.75,-56.43,81.25,58,4,9.24
Ziro,IN,27.63,93.83,60.62,100,90,1.57
Cherskiy,RU,68.75,161.3,70.99,37,54,5.95
Arrondissement de Saint-Gaudens,FR,43.08,0.67,75.27,56,75,5.82
Uslar,DE,51.66,9.63,70.99,56,40,12.75
Çorovodë,AL,40.5,20.23,76.01,49,2,10.04
San Luis,AR,-33.3,-66.34,65.32,37,61,10.76
Benghazi,LY,32.12,20.07,84.22,43,0,10.83
Kirakira,SB,-10.45,161.92,78.6,82,100,10.0
Tabou,CI,4.42,-7.35,80.6,73,72,8.52
Zelenoborskiy,RU,66.84,32.36,59.13,45,0,3.13
Jaciara,BR,-15.97,-54.97,86.16,32,0,9.1
Ambon City,ID,-3.7,128.18,81.0,13,73,14.0
Boca do Acre,BR,-8.75,-67.4,89.64,52,0,2.57
Guarapari,BR,-20.67,-40.5,79.0,64,0,7.85
St. Pete Beach,US,27.73,-82.74,86.29,1,10,1.99
Paamiut,GL,61.99,-49.67,39.6,80,41,24.45
Lata,PT,40.16,-8.33,79.83,46,0,11.88
Paranhos,BR,-23.89,-55.43,80.64,49,0,10.4
Togur,RU,58.36,82.83,47.97,66,51,4.23
Zemio,CF,5.03,25.14,78.19,88,83,3.44
Iquitos,PE,-3.75,-73.25,80.6,78,75,4.7
Beisfjord,NO,68.38,17.6,67.26,40,51,6.93
Araçuaí,BR,-16.85,-42.07,83.46,32,16,6.46
Port Blair,IN,11.67,92.75,83.34,83,94,11.81
Saint-Joseph,RE,-21.37,55.62,66.9,73,61,5.82
Āsbe Teferī,ET,9.08,40.87,74.25,51,100,2.89
Korla,CN,41.76,86.15,87.01,52,0,1.99
Wilmington,US,34.23,-77.94,77.38,69,1,4.7
Laas,IT,46.62,10.7,64.4,48,40,10.29
Bria,CF,6.54,21.99,80.55,75,68,4.54
Noshiro,JP,40.2,140.02,56.08,86,91,3.44
Naryan-Mar,RU,67.67,53.09,42.13,82,100,24.79
Bathsheba,BB,13.22,-59.52,84.2,83,75,19.46
Laguna,US,38.42,-121.42,62.49,77,5,6.93
Westport,US,41.14,-73.36,79.36,73,1,8.05
San Jose,US,37.34,-121.89,59.36,77,20,9.17
Los Patios,CO,7.84,-72.5,80.6,69,75,4.7
Ixtapa,MX,20.7,-105.2,80.94,78,5,3.36
Qasigiannguit,GL,68.82,-51.19,46.4,52,5,4.7
San Quintín,MX,30.48,-115.95,62.96,77,100,8.37
Alekseyevsk,RU,57.84,108.35,57.85,74,4,2.8
Vilyuysk,RU,63.76,121.62,65.95,55,53,3.91
Mezen',RU,65.85,44.24,42.64,75,100,16.26
Tombouctou,ML,20.0,-3.0,110.28,10,28,4.81
Shahrud,IR,36.42,54.98,96.58,9,28,14.23
Bongandanga,CD,1.5,21.05,89.73,42,61,1.77
Hailar,CN,49.2,119.7,59.41,63,47,6.15
Kiryat Gat,IL,31.61,34.76,79.52,65,75,12.75
Beringovskiy,RU,63.05,179.32,45.9,57,94,3.69
Nome,US,64.5,-165.41,59.54,48,1,16.11
Saint-François,FR,46.42,3.91,74.14,40,28,5.82
Jaša Tomić,RS,45.45,20.86,75.13,57,40,11.41
Inyonga,TZ,-6.72,32.07,78.44,36,63,6.11
Alta Floresta,BR,-9.88,-56.09,87.8,48,31,8.05
Ishim,RU,56.11,69.49,58.5,62,100,11.83
Columbus,US,39.96,-83.0,82.85,61,20,3.36
Djenné,ML,13.91,-4.55,101.66,23,18,5.75
Flin Flon,CA,54.77,-101.86,46.4,93,90,5.82
Gusau,NG,12.16,6.66,92.12,39,98,1.48
Dolores,AR,-36.31,-57.68,57.07,46,100,4.14
Sioux Lookout,CA,50.1,-91.92,60.8,67,75,5.82
Durania,CO,7.71,-72.66,80.6,69,75,4.7
Kumluca,TR,36.37,30.29,81.64,44,0,3.49
Nisibis,TR,37.08,41.22,84.2,35,75,9.17
Stephenville Crossing,CA,48.5,-58.43,57.11,71,75,18.34
Bom Jesus da Lapa,BR,-13.26,-43.42,85.77,38,0,6.93
Baharly,TM,38.44,57.43,100.72,8,99,23.33
Banda Aceh,ID,5.56,95.32,80.85,80,98,8.39
Loudéac,FR,48.18,-2.75,70.95,52,40,11.41
Gari,RU,59.43,62.35,55.18,50,1,12.28
Kumul,CN,42.8,93.45,83.97,15,30,12.1
Wasilla,US,61.58,-149.44,47.68,93,90,3.24
Naze,JP,28.37,129.48,75.2,94,75,3.36
Diamantino,BR,-14.41,-56.45,86.7,40,14,9.57
Talnakh,RU,69.49,88.4,55.4,93,75,22.37
Curup,ID,-3.47,102.53,69.15,94,98,2.37
Chīrāla,IN,15.82,80.35,91.49,57,100,6.6
Mahina,PF,-17.51,-149.49,77.0,83,66,5.41
Ahipara,NZ,-35.17,173.17,54.03,87,73,7.29
Kānkon,IN,15.02,74.02,81.03,83,99,4.05
Gurupi,BR,-11.73,-49.07,86.74,43,57,10.07
Natal,BR,-5.79,-35.21,82.4,69,40,17.22
Nishihara,JP,26.18,127.76,82.27,94,40,13.87
Eyl,SO,7.98,49.82,90.99,39,30,23.11
Labuan,MY,5.28,115.24,80.29,94,75,3.44
Charters Towers,AU,-20.1,146.27,63.45,84,93,8.86
Port Keats,AU,-14.25,129.55,74.86,58,19,6.49
Port Augusta,AU,-32.5,137.77,50.45,76,2,11.41
Villa María,AR,-32.41,-63.24,60.57,64,0,10.47
Vallenar,CL,-28.57,-70.76,72.45,21,0,3.31
Berëzovka,BY,53.72,25.5,77.38,75,74,7.63
Stromness,GB,58.97,-3.3,59.0,82,40,5.82
Amoy,CN,24.48,118.08,87.8,70,90,4.47
Emba,KZ,48.83,58.14,78.64,18,0,5.1
Bilma,NE,18.69,12.92,107.24,7,0,5.64
